month,location,season
1,northern hemisphere,winter
2,northern hemisphere,winter
3,northern hemisphere,spring
4,northern hemisphere,spring
5,northern hemisphere,spring
6,northern hemisphere,summer
7,northern hemisphere,summer
8,northern hemisphere,summer
9,northern hemisphere,autumn
10,northern hemisphere,autumn
11,northern hemisphere,autumn
12,northern hemisphere,winter
1,southern hemisphere,summer
2,southern hemisphere,summer
3,southern hemisphere,autumn
4,southern hemisphere,autumn
5,southern hemisphere,autumn
6,southern hemisphere,winter
7,southern hemisphere,winter
8,southern hemisphere,winter
9,southern hemisphere,spring
10,southern hemisphere,spring
11,southern hemisphere,spring
12,southern hemisphere,summer